trial_id,global_trial_index,element_trial_hash,measurement_hash,method_id,noise_profile_id,L,profile_id,replicate_id,white_beamspace_snr_target_db,applicable,applicability_status,applicability_uses_registered_scenario_flag,fit_valid,fit_status,raw_vertical_eigenvalues_top6,fbss_eigenvalues_top6,raw_signal_noise_eigengap,fbss_signal_noise_eigengap,vertical_covariance_condition_proxy,fbss_condition_proxy,vertical_hermitian_residual,fbss_hermitian_residual,fb_structure_residual,noise_whitening_residual,sample_eigenvalues_top6,element_music_sample_rank,element_music_rank_threshold,element_music_local_peak_count,element_music_top10_peaks,elevation_fit_valid,elevation_fit_status,elevations_hat_deg,elevation_selection_values,gfbss_candidate_count,gfbss_top10_elevation_peaks,gfbss_selected_elevations,root_polynomial_degree,all_root_count,registered_root_count,top10_registered_root_elevations,root_moduli,root_phases,selected_roots,esprit_shift_matrix_rank,S1_singular_values,esprit_eigenvalue_real,esprit_eigenvalue_imag,esprit_eigenvalue_modulus,esprit_eigenvalue_phase,conditional_az_cml_executed,conditional_az_cml_valid,conditional_az_cml_status,coarse_candidate_count,continuous_start_count,best_coarse_loglik,selected_start,sweep_count,truth_used_in_fit_flag,profile_used_in_fit_flag
MC1_K2_N1_L1_SP6_P1_R01,3,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,6,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[2.7702205614682955 2.5656891397145629 2.3285066092184348 2.197194867154272 2.004921015192632 1.8167848887031239],[2.1659282619818914 1.737890355523277 1.6283687248722256 1.5250936955149028 1.459970475961218 1.4100569301361146],1.10186036387319,1.0672584955595,19.9599924622714,4.69561287980499,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,1,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP6_P1_R01,3,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,WHITE,1,P1,1,6,1,APPLICABLE,0,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[2.7702205614682955 2.5656891397145629 2.3285066092184348 2.197194867154272 2.004921015192632 1.8167848887031239],[2.1659282619818914 1.737890355523277 1.6283687248722256 1.5250936955149028 1.459970475961218 1.4100569301361146],1.10186036387319,1.0672584955595,19.9599924622714,4.69561287980499,0,0,0,0,,0,NaN,0,,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP10_P1_R01,4,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,10,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[3.8941134741424195 2.6149525366541866 2.3399806967687855 2.2327252219419975 2.0384418706227567 1.8217556093572329],[3.3766955400342393 1.75862369716889 1.630866977179634 1.5309821611137435 1.494227769057346 1.4118459480872751],1.11751030265553,1.07833668948904,28.101017555913,7.27127117928492,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP10_P1_R01,4,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,10,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[3.8941134741424195 2.6149525366541866 2.3399806967687855 2.2327252219419975 2.0384418706227567 1.8217556093572329],[3.3766955400342393 1.75862369716889 1.630866977179634 1.5309821611137435 1.494227769057346 1.4118459480872751],1.11751030265553,1.07833668948904,28.101017555913,7.27127117928492,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[0.79591116650807814 -0.65632408897117711],[0.56475082922819397 0.10652465997295646],[0.97591909710087266 0.6649126355741779],[0.61711672512466298 2.9806907697719667],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP10_P1_R01,4,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,10,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[3.8941134741424195 2.6149525366541866 2.3399806967687855 2.2327252219419975 2.0384418706227567 1.8217556093572329],[3.3766955400342393 1.75862369716889 1.630866977179634 1.5309821611137435 1.494227769057346 1.4118459480872751],1.11751030265553,1.07833668948904,28.101017555913,7.27127117928492,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,1,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP10_P1_R01,4,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,WHITE,1,P1,1,10,1,APPLICABLE,0,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[3.8941134741424195 2.6149525366541866 2.3399806967687855 2.2327252219419975 2.0384418706227567 1.8217556093572329],[3.3766955400342393 1.75862369716889 1.630866977179634 1.5309821611137435 1.494227769057346 1.4118459480872751],1.11751030265553,1.07833668948904,28.101017555913,7.27127117928492,0,0,0,0,,0,NaN,0,,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP14_P1_R01,5,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,14,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[7.3087849808410006 2.6210761344511551 2.3441758017212337 2.2463220344801367 2.0519713613854842 1.8397219810811549],[6.715262048098289 1.766242746282856 1.6346990010618234 1.5385121302562834 1.5084323531322377 1.4125404513280038],1.11812268197914,1.08046970429149,53.0506036345621,14.3978524707494,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP14_P1_R01,5,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,14,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[7.3087849808410006 2.6210761344511551 2.3441758017212337 2.2463220344801367 2.0519713613854842 1.8397219810811549],[6.715262048098289 1.766242746282856 1.6346990010618234 1.5385121302562834 1.5084323531322377 1.4125404513280038],1.11812268197914,1.08046970429149,53.0506036345621,14.3978524707494,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[0.80844813146721484 -0.64138111293439126],[0.57596022866069407 0.11656866224223945],[0.99263214045874526 0.65188801572501975],[0.61901759376018162 2.9618087089949343],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP14_P1_R01,5,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,14,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[7.3087849808410006 2.6210761344511551 2.3441758017212337 2.2463220344801367 2.0519713613854842 1.8397219810811549],[6.715262048098289 1.766242746282856 1.6346990010618234 1.5385121302562834 1.5084323531322377 1.4125404513280038],1.11812268197914,1.08046970429149,53.0506036345621,14.3978524707494,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,1,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP14_P1_R01,5,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,WHITE,1,P1,1,14,1,APPLICABLE,0,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[7.3087849808410006 2.6210761344511551 2.3441758017212337 2.2463220344801367 2.0519713613854842 1.8397219810811549],[6.715262048098289 1.766242746282856 1.6346990010618234 1.5385121302562834 1.5084323531322377 1.4125404513280038],1.11812268197914,1.08046970429149,53.0506036345621,14.3978524707494,0,0,0,0,,0,NaN,0,,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP18_P1_R01,6,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,18,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[16.095672517468422 2.6228693393421145 2.3451218630441608 2.2524317094120048 2.057808934712801 1.8508851387204244],[15.196854033874313 1.7698206838227799 1.6467567766344269 1.5437834004839519 1.5204452006893283 1.4130736826280614],1.11843626579704,1.07473107682597,117.514514042675,32.4702783417664,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP18_P1_R01,6,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,18,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[16.095672517468422 2.6228693393421145 2.3451218630441608 2.2524317094120048 2.057808934712801 1.8508851387204244],[15.196854033874313 1.7698206838227799 1.6467567766344269 1.5437834004839519 1.5204452006893283 1.4130736826280614],1.11843626579704,1.07473107682597,117.514514042675,32.4702783417664,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[0.8125550246715979 -0.62969885210027721],[0.57858988945786383 0.12513327692561202],[0.99750284626256791 0.6420116675968971],[0.61877574962059423 2.9454288971098967],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP18_P1_R01,6,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,18,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[16.095672517468422 2.6228693393421145 2.3451218630441608 2.2524317094120048 2.057808934712801 1.8508851387204244],[15.196854033874313 1.7698206838227799 1.6467567766344269 1.5437834004839519 1.5204452006893283 1.4130736826280614],1.11843626579704,1.07473107682597,117.514514042675,32.4702783417664,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,1,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
